name,symbol,category
Lippo General Insurance Tbk.,LPGI.JK,Unknown
Multi Prima Sejahtera Tbk,LPIN.JK,Unknown
Lippo Karawaci Tbk.,LPKR.JK,Unknown
Star Pacific Tbk,LPLI.JK,Unknown
Matahari Department Store Tbk.,LPPF.JK,Unknown
Lenox Pasifik Investama Tbk.,LPPS.JK,Unknown
Eka Sari Lorena Transport Tbk.,LRNA.JK,Unknown
PP London Sumatra Indonesia Tb,LSIP.JK,Unknown
Lautan Luas Tbk.,LTLS.JK,Unknown
Multi Agro Gemilang Plantation,MAGP.JK,Unknown
Malindo Feedmill Tbk.,MAIN.JK,Unknown
Mas Murni Indonesia Tbk,MAMI.JK,Unknown
Mitra Adiperkasa Tbk.,MAPI.JK,Unknown
Multistrada Arah Sarana Tbk.,MASA.JK,Unknown
Bank Mayapada Internasional Tb,MAYA.JK,Unknown
Mitrabara Adiperdana Tbk.,MBAP.JK,Unknown
Mitrabahtera Segara Sejati Tbk,MBSS.JK,Unknown
Martina Berto Tbk.,MBTO.JK,Unknown
Bank China Construction Bank I,MCOR.JK,Unknown
Intermedia Capital Tbk.,MDIA.JK,Unknown
Merdeka Copper Gold Tbk.,MDKA.JK,Unknown
Modernland Realty Tbk.,MDLN.JK,Unknown
Modern Internasional Tbk.,MDRN.JK,Unknown
Medco Energi Internasional Tbk,MEDC.JK,Unknown
Bank Mega Tbk.,MEGA.JK,Unknown
Merck Tbk.,MERK.JK,Unknown
Nusantara Infrastructure Tbk.,META.JK,Unknown
Mandala Multifinance Tbk.,MFIN.JK,Unknown
Multifiling Mitra Indonesia Tb,MFMI.JK,Unknown
Magna Investama Mandiri Tbk.,MGNA.JK,Unknown
Multi Indocitra Tbk.,MICE.JK,Unknown
Midi Utama Indonesia Tbk.,MIDI.JK,Unknown
Mitra Keluarga Karyasehat Tbk.,MIKA.JK,Unknown
Mitra International Resources,MIRA.JK,Unknown
Mitra Investindo Tbk.,MITI.JK,Unknown
Metropolitan Kentjana Tbk.,MKPI.JK,Unknown
